Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ans.fhir.fr.sas.json	14085	-	0	0	0	0	0	0	5	75	0	0	0	0	0	0	0	1	0	0	178	139	0	0	0	5	0	1
fsh-generated/resources/Bundle-ExampleBundleCPTS.json	6454	24	1	0	0	0	22	0	0	589	0	0	0	0	0	0	0	0	0	0	72	77	0	0	0	0	0	0
fsh-generated/resources/HealthcareService-ExampleHealthcareServiceCPTS.json	302	21	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	41	48	0	0	0	0	0	0
fsh-generated/resources/Organization-ExampleOrgaCPTS.json	633	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	43	0	0	0	0	0	0
fsh-generated/resources/Practitioner-ExamplePractitioner.json	570	21	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	41	43	0	0	0	0	0	0
fsh-generated/resources/PractitionerRole-ExamplePractitionerRoleAgregateur.json	1265	20	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	1	0	0	47	51	0	0	0	0	0	0
fsh-generated/resources/Schedule-ExampleSchedule.json	337	21	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	27	53	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-cptsslot-sp-servicetype.json	611	18	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	32	36	0	0	0	0	0	0
fsh-generated/resources/Slot-ExampleSlotCPTS.json	997	19	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	30	35	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-BundleAgregateur.json	3087	20	0	0	0	0	0	2165	0	92	0	0	1	0	0	0	0	3	0	0	724	3291	0	0	0	14	0	3
fsh-generated/resources/StructureDefinition-FrAppointmentSAS.json	5163	20	0	0	0	0	0	104	0	111	0	0	0	0	0	0	0	2	0	0	580	1117	0	0	0	12	1	1
fsh-generated/resources/StructureDefinition-FrLocationAgregateur.json	1481	18	0	0	0	0	0	45	0	51	0	0	1	0	0	0	0	1	0	0	320	614	0	0	0	7	0	1
fsh-generated/resources/StructureDefinition-FrPractitionerAgregateur.json	1807	18	0	0	0	0	0	79	0	75	0	0	0	0	0	0	0	3	0	0	758	1383	0	0	0	15	0	1
fsh-generated/resources/StructureDefinition-FrPractitionerRoleExerciceAgregateur.json	2523	19	1	0	0	0	0	36	0	41	0	0	0	0	0	0	0	2	0	0	335	474	0	0	0	7	0	1
fsh-generated/resources/StructureDefinition-FrScheduleAgregateur.json	1459	18	0	0	0	0	0	29	0	29	0	0	0	0	0	0	0	0	0	0	162	293	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-FrSlotAgregateur.json	4371	19	0	0	0	0	0	34	0	83	0	0	0	0	0	0	0	1	0	0	284	467	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-sas-cpts-bundle-aggregator.json	5093	18	0	0	0	0	0	264	0	78	0	0	1	0	0	0	0	3	0	0	947	1700	0	0	0	19	0	2
fsh-generated/resources/StructureDefinition-sas-cpts-healthcareservice-aggregator.json	1180	18	0	0	0	0	0	36	0	41	0	0	0	0	0	0	0	1	0	0	270	433	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-sas-cpts-organization-aggregator.json	1910	18	0	0	0	0	0	44	0	42	0	0	0	0	0	0	0	1	0	0	400	413	0	0	0	12	1	1
fsh-generated/resources/StructureDefinition-sas-cpts-slot-aggregator.json	4653	19	0	0	0	0	0	38	0	50	0	0	0	0	0	0	0	60	0	0	373	318	0	0	0	7	0	0
